run_label,packet,path_index,timestamp,current_location,current_location_ip,decision,introduced_delay,transition_delay,reason,expected_endresult,hitcount
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,106.136,C4,192.0.0.68,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
original,Packet #108 [14]: 192.0.0.5 (554) -[6]-> 192.0.0.36 (554) [EPacketDecision.DROP],0,0,SV0,192.0.0.5,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,14
original,Packet #108 [14]: 192.0.0.5 (554) -[6]-> 192.0.0.36 (554) [EPacketDecision.DROP],0,3.8,SW2,192.0.0.3,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,14
original,Packet #108 [14]: 192.0.0.5 (554) -[6]-> 192.0.0.36 (554) [EPacketDecision.DROP],0,7.6,SW1,192.0.0.2,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,14
original,Packet #108 [14]: 192.0.0.5 (554) -[6]-> 192.0.0.36 (554) [EPacketDecision.DROP],0,11.399999999999999,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,14
original,Packet #108 [14]: 192.0.0.5 (554) -[6]-> 192.0.0.36 (554) [EPacketDecision.DROP],0,15.2,R0,"192.0.0.35,192.0.0.13",EPacketDecision.DROP,73.288,3.8,'rule action decision: -A INPUT -s 192.0.0.5 -d 192.0.0.36:192.0.0.37 -p 6 --sport 23:65535 --dport 23:65535 -j DROP [12]',EPacketDecision.DROP,14
original,Packet #109 [168]: 192.0.0.5 (554) -[6]-> 192.0.0.37 (554) [EPacketDecision.DROP],0,0,SV0,192.0.0.5,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,168
original,Packet #109 [168]: 192.0.0.5 (554) -[6]-> 192.0.0.37 (554) [EPacketDecision.DROP],0,3.8,SW2,192.0.0.3,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,168
original,Packet #109 [168]: 192.0.0.5 (554) -[6]-> 192.0.0.37 (554) [EPacketDecision.DROP],0,7.6,SW1,192.0.0.2,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,168
original,Packet #109 [168]: 192.0.0.5 (554) -[6]-> 192.0.0.37 (554) [EPacketDecision.DROP],0,11.399999999999999,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,168
original,Packet #109 [168]: 192.0.0.5 (554) -[6]-> 192.0.0.37 (554) [EPacketDecision.DROP],0,15.2,R0,"192.0.0.35,192.0.0.13",EPacketDecision.DROP,73.288,3.8,'rule action decision: -A INPUT -s 192.0.0.5 -d 192.0.0.36:192.0.0.37 -p 6 --sport 23:65535 --dport 23:65535 -j DROP [12]',EPacketDecision.DROP,168
original,Packet #110 [464]: 192.0.0.9 (554) -[6]-> 192.0.0.39 (554) [EPacketDecision.DROP],0,0,I0,192.0.0.9,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,464
original,Packet #110 [464]: 192.0.0.9 (554) -[6]-> 192.0.0.39 (554) [EPacketDecision.DROP],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.DROP,464
